date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:43	48013/48013	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Feb%202025%2010:21:43%20GMT	https://jibryl.seesaa.net/article/510557800.html?1740041550	C:/Users/user/Desktop/blogger/jibryl.seesaa.net/article/51055780059d4.html	(from )
02:21:44	754/754	---M--	200	added ('OK')	text/plain	etag:%2265d08cf6-2f2%22	https://jibryl.seesaa.net/robots.txt		(from )
02:21:45	1917/1917	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265433f47-77d%22	https://blog.seesaa.jp/js/insert-ad.min.js	C:/Users/user/Desktop/blogger/blog.seesaa.jp/js/insert-ad.min.js	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:45	2356/2356	---M--	200	added ('OK')	image/png	etag:%2265433f82-934%22	https://blog.seesaa.jp/img/iphone/apple-touch-icon.png	C:/Users/user/Desktop/blogger/blog.seesaa.jp/img/iphone/apple-touch-icon.png	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:46	48013/48013	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Feb%202025%2010:21:46%20GMT	https://jibryl.seesaa.net/article/510557800.html	C:/Users/user/Desktop/blogger/jibryl.seesaa.net/article/510557800.html	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:46	63960/63960	---MCZ	200	added ('OK')	text/css	etag:W/%2255ca51089a4e02ea399b2e499bbc2219%22	https://jibryl.up.seesaa.net/site_view-8772737.css?t=1740069575	C:/Users/user/Desktop/blogger/jibryl.up.seesaa.net/site_view-8772737e849.css	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:46	4933/4933	---MCZ	200	added ('OK')	text/css	etag:W/%2265433f47-1345%22	https://blog.seesaa.jp/css/user-common.css	C:/Users/user/Desktop/blogger/blog.seesaa.jp/css/user-common.css	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:47	1081/1081	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267b700c8-439%22	https://blog.seesaa.jp/contents/js/common_header_site.js	C:/Users/user/Desktop/blogger/blog.seesaa.jp/contents/js/common_header_site.js	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:47	3729/3729	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2010:21:47%20GMT	https://jibryl.seesaa.net/article/force_pc=0;%20max-age=15768000;%20path=/	C:/Users/user/Desktop/blogger/jibryl.seesaa.net/article/force_pc=0;%20max-age=15768000;%20path=/index.html	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:48	3729/3729	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2010:21:48%20GMT	https://jibryl.seesaa.net/article/1.png	C:/Users/user/Desktop/blogger/jibryl.seesaa.net/article/1.png	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:48	3729/3729	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2010:21:48%20GMT	https://jibryl.seesaa.net/article/force_sp=1;%20max-age=15768000;%20path=/	C:/Users/user/Desktop/blogger/jibryl.seesaa.net/article/force_sp=1;%20max-age=15768000;%20path=/index.html	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:48	986033/986033	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265433f84-f0bb1%22	https://blog.seesaa.jp/visual/pc/common/fontawesome/all.min.js	C:/Users/user/Desktop/blogger/blog.seesaa.jp/visual/pc/common/fontawesome/all.min.js	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:48	47928/47928	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Feb%202025%2010:21:48%20GMT	https://jibryl.seesaa.net/article/510557774.html?seesaa_related=category	C:/Users/user/Desktop/blogger/jibryl.seesaa.net/article/510557774ac4a.html	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
02:21:48	8102/8102	---M--	200	added ('OK')	image/jpeg	etag:%2293cec03cb6cc8b48bf39eebbc4a88305%22	https://jibryl.up.seesaa.net/image/images2028229-thumbnail2.jpg	C:/Users/user/Desktop/blogger/jibryl.up.seesaa.net/image/images2028229-thumbnail2.jpg	(from https://jibryl.seesaa.net/article/510557800.html?1740041550)
